Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
LTR/Copia	Copia-141_SB-I	No_ref_available	1	1	0	72	0.00
LTR/Copia	Copia-14_CP-I	No_ref_available	3	2	0	4087	0.01
LTR/Copia	Copia-14_GR-I	631	179	88	27	239859	0.38
LTR/Copia	Copia-14_NN-I	No_ref_available	2	2	0	4707	0.01
LTR/Copia	Copia-14_RC-I	No_ref_available	1	1	0	271	0.00
LTR/Copia	Copia-15_CP-I	No_ref_available	1	1	0	1074	0.00
LTR/Copia	Copia-15_ECa-I	No_ref_available	7	6	0	3842	0.01
LTR/Copia	Copia-15_GM-I	No_ref_available	1	1	0	122	0.00
LTR/Copia	Copia-15_GR-I	371	231	165	40	377198	0.59
LTR/Copia	Copia-15_JC-I	No_ref_available	5	2	0	8375	0.01
LTR/Copia	Copia-15_PPe-I	No_ref_available	1	1	0	39	0.00
LTR/Copia	Copia-15_TC-I	No_ref_available	1	1	0	285	0.00
LTR/Copia	Copia-17_CP-I	No_ref_available	3	1	0	3706	0.01
LTR/Copia	Copia-17_GR-I	5231	1	1	0	4862	0.01
LTR/Copia	Copia-17_RC-I	No_ref_available	1	1	0	70	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	3	2	0	3811	0.01
LTR/Copia	Copia-18_BD-I	No_ref_available	2	2	0	454	0.00
LTR/Copia	Copia-18_GR-I	4986	2	2	0	4481	0.01
LTR/Copia	Copia-18_PAb-I	No_ref_available	1	1	0	138	0.00
LTR/Copia	Copia-18_PPe-I	No_ref_available	1	1	0	120	0.00
LTR/Copia	Copia-19_GR-I	4203	2	2	0	1820	0.00
LTR/Copia	Copia-19_TC-I	No_ref_available	20	10	0	10815	0.02
LTR/Copia	Copia-1_BDi-I	No_ref_available	1	1	0	114	0.00
LTR/Copia	Copia-1_GR-I	1489	314	189	151	360095	0.56
LTR/Copia	Copia-1_NN-I	No_ref_available	1	1	0	4066	0.01
LTR/Copia	Copia-1_RC-I	No_ref_available	2	2	0	3764	0.01
LTR/Copia	Copia-20_FV-I	No_ref_available	2	2	0	1450	0.00
